image_id,split
000001.jpg,train
000002.jpg,train
000003.jpg,train
000004.jpg,train
000005.jpg,train
000006.jpg,train
000007.jpg,train
000008.jpg,train
000009.jpg,train
000010.jpg,train
000011.jpg,train
000012.jpg,train
000013.jpg,train
000014.jpg,train
000015.jpg,train
000016.jpg,train
000017.jpg,train
000018.jpg,train
000019.jpg,train
000020.jpg,train
000021.jpg,train
000022.jpg,train
000023.jpg,train
000024.jpg,train
000025.jpg,train
000026.jpg,train
000027.jpg,train
000028.jpg,train
000029.jpg,train
000030.jpg,train
000031.jpg,train
000032.jpg,train
000033.jpg,train
000034.jpg,train
000035.jpg,train
000036.jpg,train
000037.jpg,train
000038.jpg,train
000039.jpg,train
000040.jpg,train
000041.jpg,train
000042.jpg,train
000043.jpg,train
000044.jpg,train
000045.jpg,train
000046.jpg,train
000047.jpg,train
000048.jpg,train
000049.jpg,train
000050.jpg,train
000051.jpg,train
000052.jpg,train
000053.jpg,train
000054.jpg,train
000055.jpg,train
000056.jpg,train
000057.jpg,train
000058.jpg,train
000059.jpg,train
000060.jpg,train
000061.jpg,train
000062.jpg,train
000063.jpg,train
000064.jpg,train
000065.jpg,train
000066.jpg,train
000067.jpg,train
000068.jpg,train
000069.jpg,train
000070.jpg,train
000071.jpg,train
000072.jpg,train
000073.jpg,train
000074.jpg,train
000075.jpg,train
000076.jpg,train
000077.jpg,train
000078.jpg,train
000079.jpg,train
000080.jpg,train
000081.jpg,train
000082.jpg,train
000083.jpg,train
000084.jpg,train
000085.jpg,train
000086.jpg,train
000087.jpg,train
000088.jpg,train
000089.jpg,train
000090.jpg,train
000091.jpg,train
000092.jpg,train
000093.jpg,train
000094.jpg,train
000095.jpg,train
000096.jpg,train
000097.jpg,train
000098.jpg,train
000099.jpg,train
000100.jpg,train
000101.jpg,train
000102.jpg,train
000103.jpg,train
000104.jpg,train
000105.jpg,train
000106.jpg,train
000107.jpg,train
000108.jpg,train
000109.jpg,train
000110.jpg,train
000111.jpg,train
000112.jpg,train
000113.jpg,train
000114.jpg,train
000115.jpg,train
000116.jpg,train
000117.jpg,train
000118.jpg,train
000119.jpg,train
000120.jpg,train
000121.jpg,train
000122.jpg,train
000123.jpg,train
000124.jpg,train
000125.jpg,train
000126.jpg,train
000127.jpg,train
000128.jpg,train
000129.jpg,train
000130.jpg,train
000131.jpg,train
000132.jpg,train
000133.jpg,train
000134.jpg,train
000135.jpg,train
000136.jpg,train
000137.jpg,train
000138.jpg,train
000139.jpg,train
000140.jpg,train
000141.jpg,train
000142.jpg,train
000143.jpg,train
000144.jpg,train
000145.jpg,train
000146.jpg,train
000147.jpg,train
000148.jpg,train
000149.jpg,train
000150.jpg,train
000151.jpg,train
000152.jpg,train
000153.jpg,train
000154.jpg,train
000155.jpg,train
000156.jpg,train
000157.jpg,train
000158.jpg,train
000159.jpg,train
000160.jpg,train
000161.jpg,train
000162.jpg,train
000163.jpg,train
000164.jpg,train
000165.jpg,train
000166.jpg,train
000167.jpg,train
000168.jpg,train
000169.jpg,train
000170.jpg,train
000171.jpg,train
000172.jpg,train
000173.jpg,train
000174.jpg,train
000175.jpg,train
000176.jpg,train
000177.jpg,train
000178.jpg,train
000179.jpg,train
000180.jpg,train
000181.jpg,train
000182.jpg,train
000183.jpg,train
000184.jpg,train
000185.jpg,train
000186.jpg,train
000187.jpg,train
000188.jpg,train
000189.jpg,train
000190.jpg,train
000191.jpg,train
000192.jpg,train
000193.jpg,train
000194.jpg,train
000195.jpg,train
000196.jpg,train
000197.jpg,train
000198.jpg,train
000199.jpg,train
000200.jpg,train
000201.jpg,train
000202.jpg,train
000203.jpg,train
000204.jpg,train
000205.jpg,train
000206.jpg,train
000207.jpg,train
000208.jpg,train
000209.jpg,train
000210.jpg,train
000211.jpg,train
000212.jpg,train
000213.jpg,train
000214.jpg,train
000215.jpg,train
000216.jpg,train
000217.jpg,train
000218.jpg,train
000219.jpg,train
000220.jpg,train
000221.jpg,train
000222.jpg,train
000223.jpg,train
000224.jpg,train
000225.jpg,train
000226.jpg,train
000227.jpg,train
000228.jpg,train
000229.jpg,train
000230.jpg,train
000231.jpg,train
000232.jpg,train
000233.jpg,train
000234.jpg,train
000235.jpg,train
000236.jpg,train
000237.jpg,train
000238.jpg,train
000239.jpg,train
000240.jpg,train
000241.jpg,train
000242.jpg,train
000243.jpg,train
000244.jpg,train
000245.jpg,train
000246.jpg,train
000247.jpg,train
000248.jpg,train
000249.jpg,train
